"","face_PSC","body_PSC","person_PSC","subj","ROI","hemi"
"2802",3.4697,2.2309,3.7693,12,"Overlap_ventral","Right"
"2803",5.9242,3.5881,5.6817,12,"Overlap_ventral","Right"
"2804",0.16655,0.55222,0.19097,12,"Overlap_ventral","Right"
"2805",2.2583,0.76995,2.4251,12,"Overlap_ventral","Right"
"2806",0.073541,0.13532,0.37763,12,"Overlap_ventral","Right"
"2807",0.70036,-0.33877,0.62502,12,"Overlap_ventral","Right"
"2808",1.4089,0.36609,0.7321,12,"Overlap_ventral","Right"
"2809",0.92881,1.5853,1.2158,12,"Overlap_ventral","Right"
"2810",1.4009,0.85519,0.98488,12,"Overlap_ventral","Right"
"2811",1.4438,0.036499,1.495,12,"Overlap_ventral","Right"
"2812",1.0709,0.94917,1.9253,12,"Overlap_ventral","Right"
"2813",2.0202,0.6916,2.0222,12,"Overlap_ventral","Right"
"2814",3.2213,1.1661,2.6673,12,"Overlap_ventral","Right"
"2815",0.13154,-0.10164,0.67785,12,"Overlap_ventral","Right"
"2816",0.58925,-0.8959,0.092675,12,"Overlap_ventral","Right"
"2817",0.93092,0.71934,1.1178,12,"Overlap_ventral","Right"
"2818",0.95327,-0.13363,0.9796,12,"Overlap_ventral","Right"
"2819",4.5312,2.1769,4.6102,12,"Overlap_ventral","Right"
"2820",0.80199,0.017054,0.84671,12,"Overlap_ventral","Right"
"2821",1.3159,0.59294,1.1553,12,"OFA","Left"
"2822",-0.070599,0.39247,0.2902,12,"OFA","Left"
"2823",1.7735,0.2899,1.4971,12,"OFA","Left"
"2824",-0.84654,0.33415,0.17601,12,"OFA","Left"
"2825",2.7066,0.68454,2.9393,12,"OFA","Left"
"2826",2.2703,0.68899,1.8076,12,"OFA","Left"
"2827",1.6168,0.55152,1.5314,12,"OFA","Left"
"2828",4.0105,1.76,4.0993,12,"OFA","Left"
"2829",6.9515,3.9271,6.3133,12,"OFA","Left"
"2830",2.5255,1.8505,2.4783,12,"OFA","Left"
"2831",3.5363,1.5744,3.713,12,"OFA","Left"
"2832",15.5343,9.1675,13.806,12,"OFA","Left"
"2833",0.071051,-0.035773,0.31456,12,"OFA","Left"
"2834",5.7682,3.0961,4.8749,12,"OFA","Left"
"2835",1.5161,-0.27547,1.0907,12,"OFA","Left"
"2836",1.6504,-0.46657,1.7418,12,"OFA","Left"
"2837",2.419,0.84891,1.8041,12,"OFA","Left"
"2838",2.0601,0.40814,2.4011,12,"OFA","Left"
"2839",3.3355,-0.25911,2.6724,12,"OFA","Left"
"2840",7.0574,3.6851,6.6994,12,"OFA","Left"
"2841",5.8479,3.0336,4.722,12,"OFA","Left"
"2842",4.6976,3.1054,4.6433,12,"OFA","Left"
"2843",10.9367,7.0306,9.647,12,"OFA","Left"
"2844",10.6419,6.7225,9.3837,12,"OFA","Left"
"2845",7.2247,4.4151,5.8902,12,"OFA","Left"
"2846",0.97207,-0.094584,0.64367,12,"OFA","Left"
"2847",4.0175,1.6059,3.5117,12,"OFA","Left"
"2848",4.2091,2.6564,3.9985,12,"OFA","Left"
"2849",2.045,0.29651,1.4606,12,"OFA","Left"
"2850",5.5518,2.9023,4.6028,12,"OFA","Left"
"2851",0.50883,0.93221,0.97566,12,"EBA","Left"
"2852",1.3123,1.8388,1.8689,12,"EBA","Left"
"2853",0.84094,1.4274,1.4552,12,"EBA","Left"
"2854",1.369,2.018,1.7086,12,"EBA","Left"
"2855",2.2171,3.4319,3.2209,12,"EBA","Left"
"2856",1.1241,1.7958,1.6505,12,"EBA","Left"
"2857",0.75311,0.73343,0.9232,12,"EBA","Left"
"2858",0.76518,1.7291,1.9316,12,"EBA","Left"
"2859",0.90085,0.60405,0.83608,12,"EBA","Left"
"2860",0.35088,-0.17226,-0.45123,12,"EBA","Left"
"2861",0.69939,2.0541,1.8019,12,"EBA","Left"
"2862",0.96547,1.2971,1.1503,12,"EBA","Left"
"2863",0.67208,1.3984,1.3371,12,"EBA","Left"
"2864",1.4771,3.3711,3.4063,12,"EBA","Left"
"2865",0.9922,0.97321,1.4679,12,"EBA","Left"
"2866",0.98631,1.0128,1.2039,12,"EBA","Left"
"2867",0.90967,1.7084,1.639,12,"EBA","Left"
"2868",1.0407,3.5499,2.8877,12,"EBA","Left"
"2869",0.98049,0.92867,1.0588,12,"EBA","Left"
"2870",0.5261,0.068797,0.66974,12,"EBA","Left"
"2871",0.52647,1.0562,0.96884,12,"EBA","Left"
"2872",-0.31222,-0.3155,-0.043637,12,"EBA","Left"
"2873",1.8141,1.5628,2.0692,12,"EBA","Left"
"2874",0.61759,0.95944,1.0735,12,"EBA","Left"
"2875",0.64729,1.0194,1.1689,12,"EBA","Left"
"2876",0.40514,0.57509,0.50127,12,"EBA","Left"
"2877",1.3655,1.3717,1.5932,12,"EBA","Left"
"2878",-0.10996,-0.106,0.076204,12,"EBA","Left"
"2879",0.58896,0.82024,1.1962,12,"EBA","Left"
"2880",0.24687,0.40404,0.88474,12,"EBA","Left"
"2881",1.5732,0.39229,1.376,12,"OFA","Right"
"2882",2.4877,0.46312,2.3137,12,"OFA","Right"
"2883",3.6241,2.632,3.6097,12,"OFA","Right"
"2884",1.9814,-0.90248,1.2608,12,"OFA","Right"
"2885",4.7638,3.1494,4.679,12,"OFA","Right"
"2886",2.2018,0.4239,1.846,12,"OFA","Right"
"2887",0.9079,-0.09526,0.63522,12,"OFA","Right"
"2888",3.6803,0.94315,2.193,12,"OFA","Right"
"2889",3.0216,1.1526,2.7293,12,"OFA","Right"
"2890",0.88569,0.33673,1.3622,12,"OFA","Right"
"2891",0.96257,-1.0484,-0.031136,12,"OFA","Right"
